Constituency Id,Constituency Name,Total,Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,Indian National Congress,EVM Votes,PostalVotes,Communist Party of India,EVM Votes,PostalVotes,Communist Party of India  (Marxist),EVM Votes,PostalVotes,Viduthalai Chiruthaigal Katchi,EVM Votes,PostalVotes,Indian Union Muslim League,EVM Votes,PostalVotes,All India Anna Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,Pattali Makkal Katchi,EVM Votes,PostalVotes,Bharatiya Janata Party,EVM Votes,PostalVotes,Naam Tamilar Katchi,EVM Votes,PostalVotes,Makkal Needhi Maiam,EVM Votes,PostalVotes,Indiya Jananayaka Katchi,EVM Votes,PostalVotes,Amma Makkal Munnettra Kazagam,EVM Votes,PostalVotes,Desiya Murpokku Dravida Kazhagam,EVM Votes,PostalVotes,All India Majlis-E-Ittehadul Muslimeen,EVM Votes,PostalVotes,SOCIAL DEMOCRATIC PARTY OF INDIA,EVM Votes,PostalVotes,None of the Above,EVM Votes,PostalVotes,Bahujan Samaj Party,EVM Votes,PostalVotes,Anaithu Makkal Arasiyal Katchi,EVM Votes,PostalVotes,Anna MGR Dravida Makkal Kalgam,EVM Votes,PostalVotes,Tamil Nadu Ilangyar Katchi,EVM Votes,PostalVotes,All India Jananayaka Makkal Kazhagam,EVM Votes,PostalVotes,My India Party,EVM Votes,PostalVotes,Tamilnadu Makkal Nalvazhvu Periyakkam,EVM Votes,PostalVotes,MGR Makkal Katchi,EVM Votes,PostalVotes,Nationalist Congress Party,EVM Votes,PostalVotes,Bahujan Dravida Party,EVM Votes,PostalVotes,Desiya Makkal Sakthi Katchi,EVM Votes,PostalVotes,Shiv Sena,EVM Votes,PostalVotes,Naadaalum Makkal Katchi,EVM Votes,PostalVotes,Samata Party,EVM Votes,PostalVotes,Makkal Nalvaazhvuk Katchi,EVM Votes,PostalVotes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),EVM Votes,PostalVotes,Republican Party of India (Athawale),EVM Votes,PostalVotes,United States of India Party,EVM Votes,PostalVotes,New Generation People’s Party,EVM Votes,PostalVotes,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,EVM Votes,PostalVotes,Makkalatchi Katchi,EVM Votes,PostalVotes,National Democratic Party of South India,EVM Votes,PostalVotes,Thamizhaga Munnetra Congress,EVM Votes,PostalVotes,Nam India Naam Indiyar Katchi,EVM Votes,PostalVotes,Valamaana  Tamizhagam   Katchi,EVM Votes,PostalVotes,Republican Party of India  (Sivaraj),EVM Votes,PostalVotes,Lok Jan Shakti Party,EVM Votes,PostalVotes,Tipu Sultan Party,EVM Votes,PostalVotes,Tamizhaga Murpokku Makkal Katchi,EVM Votes,PostalVotes,Rashtriya Janata Dal,EVM Votes,PostalVotes,Mahathma Makkal Munnetra Kazhakam,EVM Votes,PostalVotes,Jebamani Janata,EVM Votes,PostalVotes,Anna MGR Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,Bhartiya Manavadhikaar Federal Party,EVM Votes,PostalVotes,Puthiya Tamilagam,EVM Votes,PostalVotes,Dravida Murpokku Makkal Katchi,EVM Votes,PostalVotes,Communist Party of India  (Marxist-Leninist)  (Liberation),EVM Votes,PostalVotes,Desiya Sirupanmayinar Makkal Iyakkam,EVM Votes,PostalVotes,Makkal Munnetra Peravai,EVM Votes,PostalVotes,Kamarajar Deseeya Congress,EVM Votes,PostalVotes,All Pensioner’s Party,EVM Votes,PostalVotes,All India Youth Development Party,EVM Votes,PostalVotes,Akhil Bharat Hindu Mahasabha,EVM Votes,PostalVotes,Anaithu Makkal Puratchi Katchi,EVM Votes,PostalVotes,Rashtriya Ulama Council,EVM Votes,PostalVotes,All India Uzhavargal Uzhaippalargal Katchi,EVM Votes,PostalVotes,Makkal Nala Kazhagam,EVM Votes,PostalVotes,Samaniya Makkal Nala Katchi,EVM Votes,PostalVotes,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,National People's Party,EVM Votes,PostalVotes,Samajwadi Party,EVM Votes,PostalVotes,Dhesiya Makkal Kazhagam,EVM Votes,PostalVotes,Anna Dravidar Kazhagam,EVM Votes,PostalVotes,Ganasangam Party of India,EVM Votes,PostalVotes,Anaithindia Samudaya Munnetra Kazhagam,EVM Votes,PostalVotes,MAKKAL SAKTHI KATCHI,EVM Votes,PostalVotes,All  India  Pattali  Munnetra Katchi,EVM Votes,PostalVotes,Indhia Kudiarasu Katchi,EVM Votes,PostalVotes,Ambedkarite Party of India,EVM Votes,PostalVotes,Tamilaga Makkal Thannurimai Katchi,EVM Votes,PostalVotes,Ahimsa Socialist Party,EVM Votes,PostalVotes,Manitha Urimaigal Kalaagam,EVM Votes,PostalVotes,Namathu Kongu Munnetra Kalagam,EVM Votes,PostalVotes,"Makkal Thilagam Munnetra Kazhagam,",EVM Votes,PostalVotes,India Dravida Makkal Munnetra Katchi,EVM Votes,PostalVotes,Kongu  Desa  Marumalarchi  Makkal  Katchi,EVM Votes,PostalVotes,All India Trinamool Congress,EVM Votes,PostalVotes,Ezhuchi Tamilargal Munnetra Kazhagam,EVM Votes,PostalVotes,Hindustan Janta Party,EVM Votes,PostalVotes,"Makkal Sananayaga Kudiyarasu Katchi,",EVM Votes,PostalVotes,Anaithu Makkal Munnetra Kazhagam,EVM Votes,PostalVotes,Rashtriya Samaj Paksha,EVM Votes,PostalVotes,Vidial Valarchi Perani,EVM Votes,PostalVotes,Akila India Vallalar Peravai,EVM Votes,PostalVotes,Janata Dal  (Secular),EVM Votes,PostalVotes,Ilantamilar Munnani Kazhagam,EVM Votes,PostalVotes,All India Samathuva Makhal Katchi,EVM Votes,PostalVotes,People's Party of India(secular),EVM Votes,PostalVotes,Namadhu Makkal Katchi,EVM Votes,PostalVotes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),EVM Votes,PostalVotes,Tamil Telugu National Party,EVM Votes,PostalVotes,Ambedkar Political Party,EVM Votes,PostalVotes,All India MGR Makkal Munnetra Kazhagam,EVM Votes,PostalVotes,Naam Indiar Party,EVM Votes,PostalVotes,Desa Makkal Munnetrak Kazhgam,EVM Votes,PostalVotes,South India Forward Bloc,EVM Votes,PostalVotes,Aanaithinthiya Jananayaka Pathukappu Kazhagam,EVM Votes,PostalVotes,Universal Brotherhood Movement,EVM Votes,PostalVotes,Anaithu Ulaga Tamilargal Munnetra Kalagam,EVM Votes,PostalVotes,Ulaga Makkal Katchi,EVM Votes,PostalVotes,Tamilnadu Mahatma Gandhi Makkal Katchi,EVM Votes,PostalVotes,ALL  IND,EVM Votes,PostalVotes,,,,
11,Dr.Radhakrishnan Nagar,187027,EBENEZER. J.J. (@)  JOHN EBENEZER.J,95516,247,,,,,,,,,,,,,,,,RAAJESH.R.S.,53204,80,,,,,,,GOWRISHANKAR . K,20401,36,FAZIL . A,11181,17,,,,DR. KALIDAS . P,1848,4,,,,,,,,,,NOTA,1702,2,VIJAYAN.P,361,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VENUGOPAL.D,32,2,,,,,,,RAMADASS . E,104,0,SIVAKUMAR.S,214,1,BABU MAILAN . A,115,0,MOHAN . R,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1879,2,,,,
12,Perambur,200387,SHEKAR. R.D,104580,687,,,,,,,,,,,,,,,,DHANAPALAN N.R,50093,198,,,,,,,MERLIN SUGANTHI. S,19787,34,PONNUSAMY. A,17026,46,,,,LAKSHMI NARAYANAN. E,4039,3,,,,,,,,,,NOTA,1508,7,SURESH. C,515,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEBASTIN. J,194,0,SOOSAI. M.A,296,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1372,2,,,,
13,Kolathur,173388,M.K. STALIN,104305,1217,,,,,,,,,,,,,,,,AADIRAJARAM,34801,337,,,,,,,F.CAMILUS SELVA,11234,45,A.JAGADISH KUMAR,13989,87,,,,J.ARUMUGAM,1075,5,,,,,,,,,,NOTA,1518,11,MJS.JAMAL MOHAMED MEERA,1286,9,,,,E.RAJENDRAN,25,5,SURESH,619,1,,,,,,,,,,,,,,,,A.SEETHA,41,0,D.SURESHBABU,87,0,G.VELMURUGAN,130,2,,,,,,,,,,,,,,,,,,,ASHOK KUMAR.S,257,0,ELUMALAI.K,69,0,S.SURESHKUMAR,38,5,M.RAJENDRAN,65,0,VIVEKRAJ.J,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,2001,8,,,,
14,Villivakkam,144092,A . Vetriazhagan,75347,780,,,,,,,,,,,,,,,,J.C.D.Prabhakar,38601,289,,,,,,,R.Sridar,10846,68,Sriharan,13282,82,,,,,,,D.Subamangalam,1081,13,,,,,,,NOTA,1430,14,A.Palanivel,221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,S. Raju Bharathi,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L.Govindaraj,188,1,Jagadesh Jayakumar,261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1488,11,,,,
15,Thiru-Vi-Ka-Nagar,133696,SIVAKUMAR.P,81283,444,,,,,,,,,,,,,,,,KALYANI.P.L,26602,112,,,,,,,ILLAVANJI.Dr.R,10892,29,OBATH.S,9670,40,,,,,,,SEKAR.M.P,1785,2,,,,,,,NOTA,1042,4,BAGAVATH SINGH.M,352,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAVIPARAIYANAR.D,41,0,,,,,,,,,,PRABHAKARAN.K,78,1,,,,,,,,,,,,,RAVIKUMAR.S,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1249,5,,,,
16,Egmore,119271,I.PARANTHAMEN,68160,672,,,,,,,,,,,,,,,,B.JOHN PANDIAN,29729,335,,,,,,,P.GEETHA LAKSHMI,6237,39,U. PRIYADARSINI,9933,57,,,,,,,T.PRABHU,1270,23,,,,,,,NOTA,1167,9,K.P.SUNDARAPRATHABAN,357,4,R.REVANTH,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.SHEEJA,55,0,,,,,,,J.CHANDRAKALA,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1074,13,,,,
17,Royapuram,121191,MURTHY.R.IDREAM,64095,329,,,,,,,,,,,,,,,,JAYAKUMAR.D,36458,187,,,,,,,KAMALI.S,7923,30,GUNASEKARAN.S,8139,27,,,,RAMAJAYAM.C,1124,4,,,,,,,,,,NOTA,896,5,KUMAR.S,180,0,,,,,,,JAMES MARTIN.M,554,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOHAN.A,172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1064,1,,,,
18,Harbour,101650,SEKARBABU. P.K,59073,244,,,,,,,,,,,,,,,,,,,,,,VINOJ. P. SELVAM,31971,72,AHAMED FAZIL. M,3345,12,RAMESH. A,3758,5,,,,SANTHANA KRISHNAN. P,771,4,,,,,,,,,,NOTA,909,3,RAVIKUMAR. C,410,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1069,4,,,,
19,Chepauk-Thiruvallikeni,137405,UDHAYANIDHI STALIN,92636,649,,,,,,,,,,,,,,,,,,,KASSALI A.V.A,23763,167,,,,JAYASIMMARAJA  S M,9170,23,,,,MOHAMMED IDRIS K,4090,6,RAJENDRAN L,1865,8,,,,,,,,,,NOTA,2047,14,RAGHU C,715,8,MOHAMED RIOZ,112,0,,,,,,,,,,,,,,,,,,,,,,,,,RAVI M L,89,0,,,,,,,,,,,,,,,,ABID BAKSHQ H HUSSAIN,104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TABREZ,366,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1549,22,,,,
20,Thousand Lights,135940,EZHILAN N,71437,430,,,,,,,,,,,,,,,,,,,,,,KUSHBOO SUNDAR,39237,168,SHERINE AJ,8860,24,K M SHARIFF,11769,22,,,,VAIDHYANATHAN N,1145,10,,,,,,,,,,NOTA,1381,4,WILLIAMS D,245,1,RIAZ(A) SYED ZAKEERULLA,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOMNIC A,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1077,6,,,,
21,Anna Nagar,165096,M.K. Mohan,79356,698,,,,,,,,,,,,,,,,S. Gokula Indira,52297,312,,,,,,,S. Shankar,10361,45,V. Ponraj,17434,88,,,,K.N. Gunasekaran,1163,6,,,,,,,,,,NOTA,1529,16,D. JeevithKumar,220,0,Ansar Ahamed,69,0,M. Veriyandi,32,0,S.D. Prabhakar,406,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V. Paulraj Guna,73,0,,,,J. Nagaraj,53,0,S. Yuvaraja,56,0,,,,,,,,,,P. Dhanasekar,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,818,3,,,,
22,Virugampakkam,169087,AMV.PRABHAKARA RAJA,73814,537,,,,,,,,,,,,,,,,VIRUGAI V.N.RAVI,55526,458,,,,,,,T.S.RAJENDRAN,10153,32,SENEGAN,16871,68,,,,,,,B.PARTHASARATHY,1584,1,,,,,,,NOTA,1551,12,,,,MANJU,89,1,S.R.DINESH KUMAR,40,1,,,,M.S.ISMAIL KHAN,206,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.THANIGACHALAM,90,0,,,,,,,,,,,,,,,,,,,,,,,,,R.PRABAHARAN,63,2,G.RAVI,69,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,7878,34,,,,
23,Saidapet,160327,SUBRAMANIAN. MA,79715,479,,,,,,,,,,,,,,,,SAIDAI DURAISAMY,50633,153,,,,,,,SURESH KUMAR. B,10687,30,SNEGAPRIYA,13413,41,,,,SENTHAMIZHAN. G,2076,5,,,,,,,,,,NOTA,1155,3,KOTTUR KUMAR. R,274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIVAGNANASAMBANDAN. T,87,2,,,,,,,,,,,,,,,,SAGAYAMARY. N,208,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1364,1,,,,
24,Thiyagarayanagar,138114,KARUNANITHI J,55465,570,,,,,,,,,,,,,,,,SATHIYANAARAYANAN B,55006,892,,,,,,,SIVASANKARI S,8259,25,KARUPPIAH PALA,14473,94,,,,BHARANEESWARAN R,774,8,,,,,,,,,,NOTA,1597,20,JOHNSON R,259,10,VETRI SELVI,79,9,,,,,,,,,,,,,,,,,,,,,,,,,DHANASEKARAN R,72,2,,,,,,,,,,,,,,,,,,,DHANUSH M,109,0,,,,,,,THIRUNAVUKKARASU V,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELLAPPAN A.K.D,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,302,2,,,,
25,Mylapore,153430,VELU.DHA,67919,473,,,,,,,,,,,,,,,,NATARAJ.R,55466,293,,,,,,,MAHALAKSHMI.K,10098,26,SRIPRIYA,14850,54,,,,KARTHICK.D,1113,5,,,,,,,,,,NOTA,1279,8,BALAJI,410,3,SENTHIL KUMAR.D,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOHANRAJ.J,113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1230,8,,,,
26,Velachery,176714,,,,JMH.AASSAN MAULAANA,67998,495,,,,,,,,,,,,,M.K.ASHOK,63830,311,,,,,,,M.KEERTHANA,14142,29,Dr. SANTHOSH BABU IAS (Retd),22992,80,,,,M.CHANDRABOSE,1972,5,,,,,,,,,,NOTA,1725,17,C.VELU,473,4,D.VENKATESHAN,63,0,,,,V.L.REVATHI JAYAKUMARI,746,4,,,,,,,,,,A.CHANDRAN,85,0,,,,,,,,,,,,,,,,,,,,,,,,,J.VICTOR PAUL,69,0,,,,GEETHA,277,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.KANCHANA,86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1308,1,,,,
27,Shozhinganallur,388355,S.ARAVINDRAMESH,170675,883,,,,,,,,,,,,,,,,K.P.KANDAN,135834,319,,,,,,,S.MICHAEL,38825,47,RAJIV KUMAR,30229,55,,,,,,,R.MURUGAN,3903,9,,,,,,,NOTA,3021,9,G.PRAKASH ROBERT,551,3,M.RAJESWARIPRIYA,426,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T.ELUMALAI,160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,3392,13,,,,
28,Alandur,237751,T.M.Anbarasan,115777,1008,,,,,,,,,,,,,,,,B.Valarmathi,75634,580,,,,,,,Dr.R.Karthikeyan,16453,53,Sarathbabu,21045,72,,,,,,,,,,,,,M Mohammed Thameem Ansari,1750,11,NOTA,1878,10,,,,Subashree,187,0,,,,G Kamalakannan,1096,9,,,,,,,,,,,,,,,,,,,N.Raja,261,4,,,,,,,,,,,,,,,,J.Vincent,36,10,,,,,,,,,,,,,Rajesh Chinnadurai,54,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr.R.Suresh,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1737,17,,,,
29,Sriperumbudur,264262,,,,SELVAPERUNTHAGAI,114554,799,,,,,,,,,,,,,PALANI,104017,457,,,,,,,PUSHPARAJ,21998,36,THANIGAIVEL,8838,32,,,,PERUMAL,3125,19,,,,,,,,,,NOTA,2132,7,VINOTH,802,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOKESH,123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,7274,48,,,,
30,Pallavaram,266194,KARUNANITHI,125705,722,,,,,,,,,,,,,,,,RAJENDRAN,88312,334,,,,,,,MINISHREE KANAGARAJ,21322,40,SENTHIL KUMAR,20567,45,,,,,,,MURUGESAN,3713,5,,,,,,,NOTA,1935,10,KARTHICK,519,0,,,,KUMAR,58,1,GOKULKRISHNAN,430,2,,,,VEERALAKSHMI,171,0,,,,,,,,,,,,,SERMA SELVARAJ,525,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SASIKUMAR LAKSHMIPATHY,84,1,,,,,,,,,,,,,SATHYASEELAN,232,2,,,,,,,,,,,,,,,,,,,,,,AJITHKUMAR,200,2,SRIDHARAN,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1185,3,,,,
31,Tambaram,248968,Raja.S.R,115721,1119,,,,,,,,,,,,,,,,Chinnaiyah.T.K.M,79509,507,,,,,,,Sureshkumar.T,19463,31,Elango.Siva,22466,64,,,,Karikalan.M,4194,13,,,,,,,,,,NOTA,2276,8,Harikrishnan.R,314,3,KAMATCHI U.,199,0,,,,Abdulnazar P A,1348,3,,,,,,,,,,,,,,,,,,,,,,Manojkumar A.,85,3,,,,,,,,,,,,,Justin Charles.P,64,0,,,,,,,Venkatesan.C,73,0,,,,Ramu A,53,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1441,8,,,,
32,Chengalpattu,274087,VARALAKSHMI.M,129317,1256,,,,,,,,,,,,,,,,GAJENDRAN.M,103561,347,,,,,,,SANJEEVINATHAN.K,26813,55,,,,MUTHAMILSELVAN.S,4133,13,SATHISHKUMAR.A,3063,6,,,,,,,,,,NOTA,3058,17,,,,VASUMATHI.G,141,1,,,,,,,SARAVANAN.D,195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DILLIBABU.S,403,1,,,,,,,,,,,,,,,,,,,,,,,,,ERANIAPPAN.S,684,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1019,4,,,,
