235,All India Anna Dravida Munnetra Kazhagam,Votes,Dravida Munnetra Kazhagam,Votes,Indian National Congress,Votes,Bharatiya Janata Party,Votes,Desiya Murpokku Dravida Kazhagam,Votes,Bahujan Samaj Party,Votes,Naam Tamilar Katchi,Votes,Pattali Makkal Katchi,Votes,Indiya Jananayaka Katchi,Votes,Kongunadu Makkal Desia Katchi,Votes,Communist Party of India  (Marxist-Leninist)  (Liberation),Votes,Rashtriya Samaj Paksha,Votes,None of the Above,Votes,Youth And Students Party,Votes,Gokula Makkal Katchi,Votes,Viduthalai Chiruthaigal Katchi,Votes,Vijaya Bharatha Makkal (People) Party,Votes,Lok Jan Shakti Party,Votes,Vidiyalai Thedum Indhiyargal Party,Votes,Marumalarchi Dravida Munnetra Kazhagam,Votes,Shivsena,Votes,Samata Party,Votes,Communist Party of India  (Marxist),Votes,Nationalist Congress Party,,Valamaana Tamizhagam Katchi,,People's Party of India(secular),,Communist Party of India,Votes,The Future India Party,Votes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Votes,Republican Party of India (A),Votes,Anbu Udhayam Katchi,Votes,Jebamani Janata,Votes,Makkalatchi Katchi,Votes,All India Women United Party,Votes,SOCIAL DEMOCRATIC PARTY OF INDIA,Votes,Jan Shakti Dal,Votes,Tamil Maanila Congress  (Moopanar),Votes,Gandhiya Makkal Iyakkam,Votes,Desiya Makkal Sakthi Katchi,Votes,Eluchi Desam Party,Votes,Christian Democratic Front,Votes,Tamilaga Sthabana Congress,Votes,Gandhiyan Peoples Party,Votes,Makkal Manadu Katchi,Votes,Thozhilalar Party,Votes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Votes,All India Pattali Munnetra Katchi,Votes,Samajwadi Party,Votes,Bharat Pensioner's Front,Votes,Ulzaipali Makkal Katchy,Votes,Namadhu Makkal Katchi,Votes,Ganasangam Party of India,Votes,All Peoples Party,Votes,Indian Union Muslim League,Votes,All India Majlis-E-Ittehadul Muslimeen,Votes,Welfare Party Of India,Votes,Manithaneya Makkal Katchi,Votes,Sunder Samaj Party,Votes,United Communist Party of India,Votes,Puratchikara Thozilalar Katchi,Votes,Forward Democratic Labour Party,Votes,Republican Sena,Votes,Tamilar Makkal Katchi,Votes,Janata Dal  (Secular),Votes,Valimai Valartchi Indians Party,Votes,Republican Party of India,Votes,Sainik Samaj Party,Votes,Janata Dal  (United),Votes,Samuga Makkal Katchi,Votes,India Dravida Makkal Munnetra Katchi,Votes,Tamilaga Makkal Munnetra Kazhagam,Votes,India Makkal Munnetra Katchi,Votes,All India Forward Bloc,Votes,Indian Christian Front,Votes,Tamizhaga Vaazhvurimai Katchi,Votes,Puthiya Tamilagam,Votes,All India Forward Bloc  (Subhasist),Votes,Ezhuchi Tamilargal Munnetra Kazhagam,Votes,Anaithu Makkal Munnetra Kazhagam,Votes,"Makkal Sananayaga Kudiyarasu Katchi,",Votes,Rashtriya Janata Dal,Votes,Rashtriya Janta Party,Votes,Samajwadi Samaj Party,Votes,Socialistic Democratic Party,Votes,Makkal Kootamaipu Katchi,Votes,Jammu & Kashmir National Panthers Party,Votes,Desa Makkal Munnetrak Kazhgam,Votes,Democratic Party of India,Votes,Akhil Bharat Hindu Mahasabha,Votes,Democratic Corruption Liberation Front,Votes,Communist Party of India (Marxist-Leninist) Red Star,Votes,Ind Vote,Ind Count,First,Second,Third,Third-vote,Fourth,Fourth-vote,Fifth,Sixth,Margin,Margin ratio,Vote split,ADMK+,DMK+,DMDK+,BJP+,PMK,NTK,Margin - others,Total
Anna Nagar,GOKULAINDIRA S,70520,MOHAN M.K.,72207,,,SURESH K,8820,,,,,AMUTHA N,2966,AKHILESH A M,5619,,,,,,,,,None of the Above,4048,unknown,483,,,,,,,SOFILET,48,,,MALLIKA DAYALAN,6491,,,,,,,,,SARAVANARAJA P,370,,,,,,,,,,,,,,,THIRUNAVUKKARASU V,85,,,,,,,,,,,,,,,TIMOTHY MOSES,173,VARKEES THARUMA RAJ G,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1063,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Bharatiya Janata Party,8820,Marumalarchi Dravida Munnetra Kazhagam,6491,Pattali Makkal Katchi,Naam Tamilar Katchi,1687,0.98%,Third,40.77%,41.74%,3.75%,5.10%,3.25%,1.71%,-16.51%,172981
Virugampakkam,V.N.VIRUGAI RAVI,65979,K THANASEKARAN,63646,,,TAMILIASI SOUNDRARAJAN.DR,19167,B.PARTHASARATHY,9730,,,T.S.RAJENDRAN,2926,C.H. JAYARAO,3945,,,A.SEENEVASAN,296,,,,,None of the Above,3897,unknown,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1470,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Bharatiya Janata Party,19167,Desiya Murpokku Dravida Kazhagam,9730,Pattali Makkal Katchi,Naam Tamilar Katchi,2333,1.36%,Third,38.51%,37.15%,5.68%,11.19%,2.30%,1.71%,-22.98%,171339
Saidapet,PONNAYAN.C,63024,SUBRAMANIAN.MA,79279,,,KALIDASS.V,6000,,,MURUGESAN.S,330,MANOHARAN.M,2725,SAHADEVAN.T.R.,5913,,,,,,,,,None of the Above,3541,unknown,207,,,,,,,THOMAS.C,95,,,,,,,,,,,,,,,,,ELUMALAI.S,5221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1683,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Bharatiya Janata Party,6000,Pattali Makkal Katchi,5913,Communist Party of India,Naam Tamilar Katchi,16255,9.67%,unknown,37.51%,47.18%,3.11%,3.57%,3.52%,1.62%,-5.63%,168018
Thiyagarayanagar,SATHYANARAYANAN.B,53207,DR.N.S.KANIMOZHI,50052,,,RAJA.H,19888,KUMAR.V,6210,NAGADASS.K,380,PADMANAPAN,2072,VINOTH.V,5071,,,,,,,,,None of the Above,3570,unknown,323,,,,,,,,,,,,,RAMANAN.A,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUGUSTIN.R.J,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,933,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Bharatiya Janata Party,19888,Desiya Murpokku Dravida Kazhagam,6210,Pattali Makkal Katchi,Naam Tamilar Katchi,3155,2.22%,Third,37.47%,35.25%,4.37%,14.01%,3.57%,1.46%,-25.05%,141982
Mylapore,NATARAJ R,68176,,,KARATE R.THIAGARAJAN,53448,NAGARAJAN K,11720,,,BALAJI V,329,SUDHAKAR.S.,2356,SURESH KUMAR N,5806,,,,,,,,,None of the Above,3788,unknown,127,,,,,,,,,,,,,V.VIJAYAKRISHNA,105,,,,,,,,,JEBAMANI E,67,,,,,,,,,,,MOHANRAJ J,77,,,,,,,,,MUNAVAR BASHA A.S,4753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5380,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Bharatiya Janata Party,11720,Pattali Makkal Katchi,5806,Tamil Maanila Congress  (Moopanar),Naam Tamilar Katchi,14728,9.43%,Fourth,43.67%,34.23%,3.04%,7.51%,3.72%,1.51%,-12.67%,156132
Velachery,C MUNUSAMY,61267,VAGAI CHANDERASEKAR,70139,,,P SRITHARAN,14472,V N RAJAN,9654,,,N CHANDRASEKARAN,4011,VINOBA BHOOPATHY,6809,,,,,,,,,None of the Above,4225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELVAKUMAR,235,A CHANDERAN,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4616,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Bharatiya Janata Party,14472,Desiya Murpokku Dravida Kazhagam,9654,Pattali Makkal Katchi,Naam Tamilar Katchi,8872,5.05%,Third,34.91%,39.96%,5.50%,8.25%,3.88%,2.29%,-20.08%,175522
Shozhinganallur,SUNDARAM N,132101,ARAVIND RAMESH S,147014,,,UJAGAR SINGH,14915,,,PERAMAIYAN.G,645,RAJAN.S,10842,RAMKUMAR.K,15595,,,,,,,,,None of the Above,7332,,,,,PANEER DOSS R,15129,,,,,,,,,,,,,,,,,MANIDASAN.S,178,,,,,ARUN KUMAR S,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1143,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,15595,Viduthalai Chiruthaigal Katchi,15129,Bharatiya Janata Party,Naam Tamilar Katchi,14913,4.31%,Third,38.21%,42.53%,4.38%,4.31%,4.51%,3.14%,-14.95%,345697
Alandur,RAMACHANDRAN  S.,77708,ANBARASAN  T.M.,96877,,,DR. SATHYANARAYANAN  S.,12806,CHANDRAN  U.,12291,,,DHANACHEZHIAN  R.,3927,SRINIVASAN  R.,7194,,,BALASUBRAMANIAN V.R.,159,,,,,None of the Above,4727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERMA SELVARAJ  R.,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1158,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Bharatiya Janata Party,12806,Desiya Murpokku Dravida Kazhagam,12291,Pattali Makkal Katchi,Naam Tamilar Katchi,19169,8.83%,Fourth,35.81%,44.64%,5.66%,5.90%,3.32%,1.81%,-10.71%,216997
Sriperumbudur,PALANI.K,101001,,,SELVAPERUNTHAGAI.K,90285,MANOHARAN.M,3939,,,CHANDRAN.N,862,SIVARANJINI.B,3441,MUTHURAMAN.C,18185,,,,,RAJESH.V,344,,,None of the Above,2956,,,,,VEERAKUMAR.M,13679,,,RAVI.M,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1312,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Pattali Makkal Katchi,18185,Viduthalai Chiruthaigal Katchi,13679,Bharatiya Janata Party,Naam Tamilar Katchi,10716,4.54%,Third,42.77%,38.23%,5.79%,1.67%,7.70%,1.46%,-14.46%,236142
Pallavaram,SARASWATHI C.R,90726,KARUNANITHI.I,112891,,,DR.GOPI AYYASWAMY,11781,,,JOHN RAJARATHANAM,592,SRINIVASA KUMAR P,4488,VENKATESAN R,9339,,,KARUPPUSAMY P,138,,,,,None of the Above,5823,,,,,,,,,,,,,VEERALAKSHMI C,14083,BACKIYARAJ.M,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHITTIBABU,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,915,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Marumalarchi Dravida Munnetra Kazhagam,14083,Bharatiya Janata Party,11781,Pattali Makkal Katchi,Naam Tamilar Katchi,22165,8.82%,Fourth,36.12%,44.94%,5.61%,4.69%,3.72%,1.79%,-10.12%,251204
Tambaram,RAJENDRAN C,87390,S R RAJA,101835,,,VEDASUBRAMANIAM A,10327,M CHEZHIYAN,14559,,,NAGANATHAN B,5237,R SURESH,7631,,,P ARUMUGAM,240,,,,,None of the Above,5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S MOHAMAD BILAL,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1994,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,14559,Bharatiya Janata Party,10327,Pattali Makkal Katchi,Naam Tamilar Katchi,14445,6.14%,Third,37.13%,43.27%,6.19%,4.39%,3.24%,2.23%,-13.46%,235355
Chengalpattu,KAMALAKKANNAN.R,86383,VARALAKSHMI.M,112675,,,,,MURUGESAN.D,17438,AJAY.S,577,SANJEEVINATHAN.K,4035,ARUMUGAM.K,20899,MUTHAMILSELVAN.S,1517,,,,,,,None of the Above,3584,,,,,,,,,,,,,,,SATHISH KUMAR.G,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELVARAJ.T,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2312,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,20899,Desiya Murpokku Dravida Kazhagam,17438,Naam Tamilar Katchi,Indiya Jananayaka Katchi,26292,10.53%,Fourth,34.58%,45.11%,6.98%,0.61%,8.37%,1.62%,-9.78%,249774
Thiruporur,KOTHANDAPANI. M,70215,VISWANATHAN. V,69265,,,RANGASWAMY.V.G,2605,,,VICTOR JOHN. J,295,ELLALAN YUSUF.I,1836,VASU. K,28125,,,,,,,,,None of the Above,2116,,,,,,,,,,,,,SATHYA. C.E,25539,KUMAR.V,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,782,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,28125,Marumalarchi Dravida Munnetra Kazhagam,25539,Bharatiya Janata Party,Naam Tamilar Katchi,950,0.47%,Third,34.91%,34.44%,12.70%,1.30%,13.98%,0.91%,-30.18%,201141
Cheyyur,MUNUSAMY,63142,ARASU R T,63446,,,SAMPATH P,1559,,,RAMESH,722,DHASARATHAN,919,SADAIYAPPAN,17892,,,,,,,,,None of the Above,1827,,,,,EZHIL CAROLINE,17927,,,,,,,,,,,,,,,,,,,KANNAN,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1549,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Viduthalai Chiruthaigal Katchi,17927,Pattali Makkal Katchi,17892,Bharatiya Janata Party,Naam Tamilar Katchi,304,0.18%,Third,37.33%,37.51%,10.60%,0.92%,10.58%,0.54%,-24.98%,169134
Madurantakam,C.K.THAMIZHARASAN,70736,S.PUGAZHENTHI,73693,,,,,M.THENNARASU,11773,V.SATHYANARAYANAN,767,B.VETRISELVAM,813,A.ADHIKESAVAN,16215,M.VINAYAGAMURTHY,652,,,,,,,None of the Above,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.ANANDAN,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1100,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,16215,Desiya Murpokku Dravida Kazhagam,11773,Naam Tamilar Katchi,Bahujan Samaj Party,2957,1.66%,Third,39.77%,41.43%,6.62%,0.37%,9.12%,0.46%,-17.14%,177879
Uthiramerur,GANESAN.P,73357,SUNDAR.K,85513,,,PURUSHOTHAMAN.V,786,RAJENDRAN.M,9184,SURESH.D,636,SUSAIRAJ.R,928,GANGADHARAN.PON,24221,,,,,,,,,None of the Above,1647,,,,,,,,,PRAKASH.K,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMUTHA.N,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2208,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,24221,Desiya Murpokku Dravida Kazhagam,9184,Naam Tamilar Katchi,Bharatiya Janata Party,12156,6.12%,Third,36.90%,43.02%,4.62%,0.40%,12.19%,0.47%,-13.96%,198773
Kancheepuram,T.MYTHILI,82985,C.V.M.P. EZHILARASAN,90533,,,T.VASAN,3646,S.EAGAMBARAM,8986,C.KANNIAPPAN,653,M.USHA,1758,P. MAGESH KUMAR,30102,,,,,,,,,None of the Above,3645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHENAGARAN @ DHARMA DHENAGARAN,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1295,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,30102,Desiya Murpokku Dravida Kazhagam,8986,Bharatiya Janata Party,Naam Tamilar Katchi,7548,3.37%,Third,37.03%,40.40%,4.01%,1.63%,13.43%,0.78%,-19.21%,224112
Arakkonam,RAVI S,68176,RAJKUMAR  N,64015,,,C.VIJAYAN,2021,,,SUDHAKAR P,1641,SARAVANAN  M,1038,ARPUDHAM,20130,,,,,,,,,None of the Above,2049,,,,,GOPINATH G,5213,,,MARAN P,95,,,,,,,,,,,,,,,ELAYAPRABU K,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,934,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,20130,Viduthalai Chiruthaigal Katchi,5213,Bharatiya Janata Party,Bahujan Samaj Party,4161,2.52%,Third,41.21%,38.69%,3.15%,1.22%,12.17%,0.63%,-17.58%,165441
Sholingur,PARTHIBAN.N.G,77651,,,MUNIRATHINAM.A.M,67919,KUMAR.M,1468,MANOGAR.P.R,6167,GIRIDHARAN.M,738,SENTHIL KUMAR.P,826,K.SARAVANAN,50827,,,,,,,,,None of the Above,1691,,,,,,,,,,,,,,,,,,,,,,,,,PRAKASAM.S,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAC AIYYA.V.S,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2925,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Pattali Makkal Katchi,50827,Desiya Murpokku Dravida Kazhagam,6167,Bharatiya Janata Party,Independent,9732,4.61%,Third,36.79%,32.18%,2.92%,0.70%,24.08%,0.39%,-26.42%,211064
Katpadi,APPU S.R.K,66588,DURAIMURUGAN,90534,,,,,,,,,PUVIARASAN L.,1135,SHANMUGAM N T,12728,MURUGAN N,368,,,,,,,None of the Above,2492,,,,,,,,,,,,,,,,,,,,,,,,,SANKAR GANESH K,598,,,,,,,,,,,,,,,,,,,,,SIVANANDAM T.V,2163,,,,,,,,,,,,,,,,,,,,,SHANMUGAM K L,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1190,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,12728,Tamil Maanila Congress  (Moopanar),2163,Naam Tamilar Katchi,People's Party of India(secular),23946,13.46%,unknown,37.44%,50.90%,1.22%,0.21%,7.16%,0.64%,1.80%,177870
Ranipet,ELUMALAI. C,73828,GANDHI.R,81724,,,NAGARAJ. V,1342,NITHIYANANDHAM. S,5906,YUVARAJ. A,283,NAVASKHAN. A,800,MURALI. M. K,23850,,,,,,,,,None of the Above,2121,,,,,,,,,MANAVALAN YADEV. K,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,753,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,23850,Desiya Murpokku Dravida Kazhagam,5906,Bharatiya Janata Party,Naam Tamilar Katchi,7896,4.14%,Third,38.71%,42.85%,3.10%,0.70%,12.50%,0.42%,-14.31%,190742
Arcot,RAMADOSS.K.V,73091,ESWARAPPAN J L,84182,,,ARULRAMAN.D,2648,,,,,,,G.KARIKALAN,35043,,,,,,,,,None of the Above,2004,,,,,,,,,MUNUSWAMY.C,272,,,UDHAYAKUMAR P N,5387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,765,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,35043,Marumalarchi Dravida Munnetra Kazhagam,5387,Bharatiya Janata Party,Independent,11091,5.45%,Third,35.94%,41.39%,2.65%,1.30%,17.23%,0.00%,-17.22%,203392
Vellore,HARUN RASHEED,62054,KARTHIKEYAN,88264,,,ELANGOVAN.S,5212,,,,,MANIGANDAN.A,1639,LAKSHMI NARAYANAN,5185,,,,,,,,,None of the Above,2400,,,,,ABDUR RAHMAN.R,2590,BALAKRISHNAN V,200,,,,,,,,,,,,,,,,,SAMUEL JASON,387,,,,,,,,,,,,,,,,,SHAIK MEERAN,1100,,,,,,,,,,,,,,,,,,,,,,,,,RAMESH.K,82,GNANAPRAGASAM.S,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2060,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Bharatiya Janata Party,5212,Pattali Makkal Katchi,5185,Viduthalai Chiruthaigal Katchi,Naam Tamilar Katchi,26210,15.30%,unknown,36.23%,51.53%,1.51%,3.04%,3.03%,0.96%,3.06%,171279
Anaikattu,KALAIARASU M,68290,NANDAKUMAR A P,77058,,,VIJAYAKUMAR K,1750,,,KARUNANITHI E,679,SIVARAJ K,723,ELAVAZAGAN K L,24711,,,,,,,GOVINDAMMAL A,102,None of the Above,1237,,,,,,,SUDHAKAR M,191,,,,,,,,,,,,,,,,,PUSHPARAJ R,202,,,,,,,,,,,,,,,,,,,,,PALANI P S,2633,,,,,,,,,,,,,,,,,,,,,SIVAKUMAR T,92,,,VENKADESAN P,393,SRINIVASAN R,197,KATHAVARAYAN M,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3212,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,24711,Tamil Maanila Congress  (Moopanar),2633,Bharatiya Janata Party,Naam Tamilar Katchi,8768,4.83%,Third,37.60%,42.43%,1.45%,0.96%,13.61%,0.40%,-15.14%,181622
Kilvaithinankuppam,LOGANATHAN.G,75612,AMALU V,65866,,,VIMALA R,2210,DEVIYAMMAL M,4170,MOHAN.K,457,ARCHANA.N,788,KUSALAKUMARI.C,13046,,,,,,,,,None of the Above,1990,,,,,,,,,SELVA KUMAR.A,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIVALINGAM K,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,689,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,13046,Desiya Murpokku Dravida Kazhagam,4170,Bharatiya Janata Party,Naam Tamilar Katchi,9746,5.90%,Third,45.76%,39.86%,2.52%,1.34%,7.90%,0.48%,-8.47%,165226
Gudiyattam,JAYANTHI PADMANABHAN .C,94689,RAJAMARTHANDAN  K.,83219,,,,,,,SHANMUGAM .M,529,RAJKUMAR  S.,876,DEEPA .B,7505,GANESAN .T,891,,,,,,,None of the Above,2241,,,,,,,VADIVELAN .P,186,,,,,,,,,,,,,,,,,SARAVANAN  S,104,LINGAMUTHU .K,3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THANGARAJ .G,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1455,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,7505,Communist Party of India,3140,Indiya Jananayaka Katchi,Naam Tamilar Katchi,11470,5.88%,unknown,48.56%,42.68%,1.61%,0.46%,3.85%,0.45%,-2.88%,194988
